id|question|opt1|opt2|opt3|opt4|answer|tags|time_limit_seconds
1|'India Through a Traveller's Eye' is an extract from the book...|My Several Worlds|The Good Earth|East Wind: West Wind|A House Divided|My Several Worlds|English_C10|30
2|Who is the author of 'India Through a Traveller's Eye'?|H.E. Bates|Dorothy L. Sayers|Pearl S. Buck|Anton Chekhov|Pearl S. Buck|English_C10|30
3|Pearl S. Buck is a/an ______ writer.|American|English|Indian|Japanese|American|English_C10|30
4|By birth, Pearl S. Buck was...|American|Chinese|Japanese|Indian|American|English_C10|30
5|She was reared in...|Japan|India|America|China|China|English_C10|30
6|Pearl S. Buck won the Nobel Prize in Literature in...|1928|1938|1948|1958|1938|English_C10|30
7|The author came to know about India through...|her travels|Buddhism and the life story of Lord Buddha|her Indian friends|books and magazines|Buddhism and the life story of Lord Buddha|English_C10|30
8|Who was the author's family doctor?|An Indian|A Chinese|An American|A British|An Indian|English_C10|30
9|The author came to India not just to see the Taj Mahal but to...|meet the young intellectuals in the cities and the peasants in the villages|see the temples of South India|explore the Himalayas|attend a conference|meet the young intellectuals in the cities and the peasants in the villages|English_C10|30
10|According to the author, the main quality of an Indian is...|self-dramatization|religious fanaticism|materialism|dishonesty|self-dramatization|English_C10|30
11|What was the color of the skin of the Kashmiris?|Dark brown|Fair|Lovely cream|Pale|Lovely cream|English_C10|30
12|The young Indian intellectuals were disappointed with the...|English rule|Indian government|caste system|poverty in villages|English rule|English_C10|30
13|According to the author, the real indictment against the British rule was that...|they impoverished the Indian people|they created unemployment|they kept the average Indian starved and uneducated|they promoted casteism|they kept the average Indian starved and uneducated|English_C10|30
14|For what purpose had the English come to India?|To educate the Indians|To civilize the Indians|For the sake of their own empire and trade|To spread Christianity|For the sake of their own empire and trade|English_C10|30
15|The author believes that the worst evil of colonialism is the...|economic exploitation|political subjugation|psychological damage and creation of a 'colour bar'|destruction of local culture|psychological damage and creation of a 'colour bar'|English_C10|30
16|In the first village she visited, the author was received in the house of a...|rich landlord|village priest|leader of a large family|school teacher|leader of a large family|English_C10|30
