id|question|opt1|opt2|opt3|opt4|answer|tags|time_limit_seconds
1|'Bharat is My Home' is an extract from a speech given by Dr. Zakir Hussain in...|1947|1967|1950|1971|1967|English_C2|30
2|When did Dr. Zakir Hussain deliver this speech?|After taking the oath as the President|On Independence Day|On Republic Day|While starting his political career|After taking the oath as the President|English_C2|30
3|Dr. Zakir Hussain was the ______ President of India.|first|second|third|fourth|third|English_C2|30
4|Before becoming the President of India, Dr. Zakir Hussain served as the Governor of...|West Bengal|Assam|Bihar|Uttar Pradesh|Bihar|English_C2|30
5|According to Dr. Zakir Hussain, the entire Bharat is his...|House|Family|Home|Room|Home|English_C2|30
6|Dr. Zakir Hussain feels greatly obliged to the people of...|Pakistan|India|China|Nepal|India|English_C2|30
7|Who was Dr. Radhakrishnan in the context of the speech?|Dr. Hussain's predecessor|Dr. Hussain's mentor|A freedom fighter|The first Prime Minister|Dr. Hussain's predecessor|English_C2|30
8|What did Dr. Radhakrishnan bring to the Presidency?|A mental equipment, a degree of erudition and wealth of experience|Only political experience|International fame|A lot of money|A mental equipment, a degree of erudition and wealth of experience|English_C2|30
9|What, according to Dr. Zakir Hussain, is the prime instrument of national purpose?|Business|Politics|Education|Agriculture|Education|English_C2|30
10|Dr. Zakir Hussain entered the office of the President in a spirit of...|prayerful humility and total dedication|arrogance and pride|casualness|political ambition|prayerful humility and total dedication|English_C2|30
11|According to Dr. Hussain, the value remains eternally valid and presses for newer and fresher...|realization|destruction|ideas|conflicts|realization|English_C2|30
12|Dr. Zakir Hussain pledges himself to the service of the totality of India's...|Culture|Religion|Language|Population|Culture|English_C2|30
13|What are the two aspects of work that Dr. Zakir Hussain speaks about?|Individual and Social|Easy and Hard|Political and Economic|Private and Public|Individual and Social|English_C2|30
14|Work on oneself is to follow the urge towards...|moral development as a free person|wealth creation|gaining power|social recognition|moral development as a free person|English_C2|30
15|The work for the society around is for the building up of a...|just and prosperous and graceful life|powerful military|single-party state|wealthy elite class|just and prosperous and graceful life|English_C2|30
16|What does Dr. Hussain believe about the past?|It is dead and static|It is not dead and static, it is alive and dynamic|It should be forgotten|It is a burden|It is not dead and static, it is alive and dynamic|English_C2|30
17|Dr. Zakir Hussain was born in...|Delhi|Aligarh|Hyderabad|Patna|Hyderabad|English_C2|30
18|Dr. Zakir Hussain died in...|1959|1969|1979|1989|1969|English_C2|30
19|What is the 'flavor of the season' that Dr. Hussain refers to?|The immediate challenges and tasks|A type of fruit|A popular festival|A political slogan|The immediate challenges and tasks|English_C2|30
20|Dr. Zakir Hussain took the oath of loyalty to the...|Prime Minister|Constitution of India|British Crown|President's office|Constitution of India|English_C2|30
