id|question|opt1|opt2|opt3|opt4|answer|tags|time_limit_seconds
1|निम्नलिखित में से कौन सी एक तृतीयक क्रिया है?|व्यापार|कृषि|आखेट|विनिर्माण|व्यापार|Geography_C7|30
2|सेवा क्षेत्र (Service Sector) का संबंध किस प्रकार की क्रियाओं से है?|तृतीयक|प्राथमिक|द्वितीयक|पंचम|तृतीयक|Geography_C7|30
3|चतुर्थ क्रियाकलाप का संबंध किससे है?|सूचना का संग्रहण, उत्पादन और प्रकीर्णन|कच्चे माल का प्रसंस्करण|प्राकृतिक संसाधनों का निष्कर्षण|वस्तुओं का परिवहन|सूचना का संग्रहण, उत्पादन और प्रकीर्णन|Geography_C7|30
4|निम्नलिखित में से कौन सा एक चतुर्थ सेक्टर का उदाहरण है?|सॉफ्टवेयर डेवलपर|किसान|कपड़ा मिल मजदूर|मछुआरा|सॉफ्टवेयर डेवलपर|Geography_C7|30
5|'पिंक-कॉलर' श्रमिक (Pink-collar worker) किस सेक्टर से जुड़े होते हैं?|तृतीयक सेक्टर (सेवा)|प्राथमिक सेक्टर|द्वितीयक सेक्टर|चतुर्थ सेक्टर|तृतीयक सेक्टर (सेवा)|Geography_C7|30
6|व्यापार (Trade) कितने प्रकार का होता है?|दो (थोक और फुटकर)|तीन|चार|एक|दो (थोक और फुटकर)|Geography_C7|30
7|फुटकर व्यापार (Retail Trade) का संबंध किससे है?|उपभोक्ताओं को सीधे वस्तुओं का विक्रय|निर्माताओं को बड़ी मात्रा में बेचना|कच्चे माल का व्यापार|अंतर्राष्ट्रीय व्यापार|उपभोक्ताओं को सीधे वस्तुओं का विक्रय|Geography_C7|30
8|विश्व का सबसे बड़ा तृतीयक क्रियाकलाप कौन सा है?|पर्यटन|परिवहन|संचार|व्यापार|पर्यटन|Geography_C7|30
9|'अंकीय विभाजक' (Digital Divide) का क्या अर्थ है?|सूचना और संचार प्रौद्योगिकी तक असमान पहुँच|देशों के बीच व्यापारिक अंतर|ग्रामीण और शहरी क्षेत्रों में अंतर|अमीर और गरीब के बीच आय का अंतर|सूचना और संचार प्रौद्योगिकी तक असमान पहुँच|Geography_C7|30
10|पंचम क्रियाकलाप (Quinary Activities) में कौन शामिल होते हैं?|विशेषज्ञ, निर्णय-निर्माता और नीति-निर्माता|शिक्षक और डॉक्टर|दुकानदार|किसान|विशेषज्ञ, निर्णय-निर्माता और नीति-निर्माता|Geography_C7|30
11|परिवहन को प्रभावित करने वाला मुख्य कारक कौन सा है?|माँग और मार्ग|केवल जलवायु|केवल स्थलाकृति|केवल सरकारी नीतियां|माँग और मार्ग|Geography_C7|30
12|नोड (Node) या योजक का क्या अर्थ है?|दो या अधिक मार्गों का संधि स्थल, एक कस्बा या नगर|एक सड़क|एक रेल लाइन|एक हवाई अड्डा|दो या अधिक मार्गों का संधि स्थल, एक कस्बा या नगर|Geography_C7|30
