id|question|opt1|opt2|opt3|opt4|answer|tags|time_limit_seconds
1|मानव भूगोल के जनक किसे कहा जाता है?|कार्ल रिटर|फ्रेडरिक रेटजेल|एलेन चर्चिल सेंपल|विडाल-डी-ला-ब्लाश|फ्रेडरिक रेटजेल|Geography_C1|30
2|'मानव भूगोल: अस्थिर पृथ्वी और क्रियाशील मानव के बीच परिवर्तनशील संबंधों का अध्ययन है।' यह परिभाषा किसने दी?|एलेन चर्चिल सेंपल|ग्रिफिथ टेलर|पॉल विडाल-डी-ला-ब्लाश|जीन ब्रून्स|एलेन चर्चिल सेंपल|Geography_C1|30
3|निम्नलिखित में से कौन सा मानव भूगोल का उपागम नहीं है?|क्षेत्रीय विभेदन|अन्वेषण और विवरण|मात्रात्मक क्रांति|स्थानिक संगठन|मात्रात्मक क्रांति|Geography_C1|30
4|'नव-निश्चयवाद' (Neo-determinism) की संकल्पना किसने प्रस्तुत की?|ग्रिफिथ टेलर|विडाल-डी-ला-ब्लाश|फ्रेडरिक रेटजेल|कुमारी सेंपल|ग्रिफिथ टेलर|Geography_C1|30
5|'संभववाद' (Possibilism) विचारधारा के प्रवर्तक कौन थे?|फ्रेडरिक रेटजेल|पॉल विडाल-डी-ला-ब्लाश|रिचर्ड हार्टशोर्न|कार्ल सावर|पॉल विडाल-डी-ला-ब्लाश|Geography_C1|30
6|प्रकृति पर मानव की विजय को कौन सी विचारधारा महत्त्व देती है?|निश्चयवाद|संभववाद|नव-निश्चयवाद|मानवतावाद|संभववाद|Geography_C1|30
7|निम्नलिखित में से कौन सा एक भौगोलिक सूचना का स्रोत नहीं है?|यात्रियों के विवरण|प्राचीन मानचित्र|चंद्रमा से चट्टानी पदार्थों के नमूने|प्राचीन महाकाव्य|चंद्रमा से चट्टानी पदार्थों के नमूने|Geography_C1|30
8|'रुको और जाओ निश्चयवाद' (Stop and Go Determinism) किस संकल्पना का दूसरा नाम है?|संभववाद|निश्चयवाद|नव-निश्चयवाद|पर्यावरणीय निश्चयवाद|नव-निश्चयवाद|Geography_C1|30
9|मानव भूगोल का मुख्य विषय क्या है?|पृथ्वी की भौतिक संरचना का अध्ययन|मानव और पर्यावरण के बीच संबंधों का अध्ययन|केवल जनसंख्या का अध्ययन|केवल आर्थिक क्रियाओं का अध्ययन|मानव और पर्यावरण के बीच संबंधों का अध्ययन|Geography_C1|30
10|'एन्थ्रोपोज्योग्राफी' (Anthropogeographie) नामक पुस्तक किसने लिखी?|फ्रेडरिक रेटजेल|कार्ल रिटर|अलेक्जेंडर वॉन हम्बोल्ट|विडाल-डी-ला-ब्लाश|फ्रेडरिक रेटजेल|Geography_C1|30
11|मानव भूगोल की कौन सी विचारधारा प्रकृति को सर्वोपरि मानती है?|पर्यावरणीय निश्चयवाद|संभववाद|मानवतावादी विचारधारा|व्यवहारवादी विचारधारा|पर्यावरणीय निश्चयवाद|Geography_C1|30
12|निम्नलिखित में से कौन सामाजिक भूगोल का उप-क्षेत्र है?|चिकित्सा भूगोल|कृषि भूगोल|पर्यटन भूगोल|विपणन भूगोल|चिकित्सा भूगोल|Geography_C1|30
