id|question|opt1|opt2|opt3|opt4|answer|tags|time_limit_seconds
1|भारत में 'योजना आयोग' (Planning Commission) का गठन कब किया गया था?|1950|1947|1952|1960|1950|Geography_C19|30
2|'नियोजन' (Planning) के दो प्रमुख उपागम कौन से हैं?|खंडीय और प्रादेशिक|आर्थिक और सामाजिक|ग्रामीण और नगरीय|राष्ट्रीय और अंतर्राष्ट्रीय|खंडीय और प्रादेशिक|Geography_C19|30
3|भारत में पंचवर्षीय योजनाओं की शुरुआत कब हुई?|1951|1950|1955|1947|1951|Geography_C19|30
4|योजना आयोग को किस संस्था द्वारा प्रतिस्थापित किया गया है?|नीति आयोग (NITI Aayog)|वित्त आयोग|राष्ट्रीय विकास परिषद|ग्रामीण विकास मंत्रालय|नीति आयोग (NITI Aayog)|Geography_C19|30
5|'सतत पोषणीय विकास' (Sustainable Development) की अवधारणा पर किस रिपोर्ट में जोर दिया गया था?|ब्रंटलैंड रिपोर्ट (हमारा साझा भविष्य)|संसाधन संरक्षण पर क्लब ऑफ रोम रिपोर्ट|एजेंडा 21|क्योटो प्रोटोकॉल|ब्रंटलैंड रिपोर्ट (हमारा साझा भविष्य)|Geography_C19|30
6|भरमौर जनजातीय क्षेत्र किस राज्य में स्थित है?|हिमाचल प्रदेश|उत्तराखंड|सिक्किम|अरुणाचल प्रदेश|हिमाचल प्रदेश|Geography_C19|30
7|भरमौर क्षेत्र में कौन सी जनजाति प्रमुख रूप से निवास करती है?|गद्दी|संथाल|भील|गोंड|गद्दी|Geography_C19|30
8|समन्वित जनजातीय विकास परियोजना (ITDP) भरमौर में कब शुरू की गई?|1974|1980|1990|1965|1974|Geography_C19|30
9|सतत विकास का मुख्य उद्देश्य क्या है?|वर्तमान पीढ़ी की जरूरतों को पूरा करते हुए भविष्य की पीढ़ियों के लिए संसाधनों का संरक्षण करना|केवल आर्थिक विकास करना|केवल पर्यावरण की रक्षा करना|केवल सामाजिक समानता लाना|वर्तमान पीढ़ी की जरूरतों को पूरा करते हुए भविष्य की पीढ़ियों के लिए संसाधनों का संरक्षण करना|Geography_C19|30
10|इंदिरा गांधी नहर (राजस्थान नहर) को किस नदी से जल मिलता है?|सतलुज और व्यास (हरिके बैराज से)|यमुना|चंबल|रावी|सतलुज और व्यास (हरिके बैराज से)|Geography_C19|30
11|इंदिरा गांधी नहर कमान क्षेत्र में सतत पोषणीय विकास को बढ़ावा देने के लिए कौन सा उपाय सुझाया गया है?|जल-सघन फसलों से बचना|वृक्षारोपण करना|जल का समान वितरण सुनिश्चित करना|उपरोक्त सभी|उपरोक्त सभी|Geography_C19|30
