id|question|opt1|opt2|opt3|opt4|answer|tags|time_limit_seconds
1|लक्ष्यों को प्राप्त करने के लिए उपलब्ध साधनों का उपयोग करना क्या कहलाता है?|योजना|संगठन|प्रबंधन|मूल्यांकन|प्रबंधन|Home Science_C16|30
2|निम्नलिखित में से कौन सा मानवीय संसाधन है?|धन|घर|ज्ञान और कौशल|कार|ज्ञान और कौशल|Home Science_C16|30
3|समय, धन और ऊर्जा किस प्रकार के संसाधन हैं?|मानवीय संसाधन|भौतिक/गैर-मानवीय संसाधन|सार्वजनिक संसाधन|व्यक्तिगत संसाधन|भौतिक/गैर-मानवीय संसाधन|Home Science_C16|30
4|प्रबंधन प्रक्रिया का पहला चरण क्या है?|नियंत्रण|योजना (Planning)|संगठन|मूल्यांकन|योजना (Planning)|Home Science_C16|30
5|कौन सा संसाधन सभी के लिए समान रूप से उपलब्ध है?|धन|ऊर्जा|समय|कौशल|समय|Home Science_C16|30
6|कार्य को आसान बनाने और ऊर्जा बचाने की तकनीक को क्या कहते हैं?|समय प्रबंधन|कार्य सरलीकरण|धन प्रबंधन|निर्णय लेना|कार्य सरलीकरण|Home Science_C16|30
7|पारिवारिक लक्ष्यों को कितने प्रकारों में बांटा जा सकता है?|एक|दो|तीन (अल्पकालिक, मध्यकालिक, दीर्घकालिक)|चार|तीन (अल्पकालिक, मध्यकालिक, दीर्घकालिक)|Home Science_C16|30
8|किसी कार्य को करने का निर्णय लेना प्रबंधन प्रक्रिया के किस चरण में आता है?|योजना|मूल्यांकन|नियंत्रण|संगठन|योजना|Home Science_C16|30
9|कार्य योजना को क्रियान्वित करना क्या कहलाता है?|योजना बनाना|नियंत्रण (Controlling/Implementing)|मूल्यांकन|संगठित करना|नियंत्रण (Controlling/Implementing)|Home Science_C16|30
10|पारिवारिक जीवन चक्र की किस अवस्था में संसाधनों की मांग सबसे अधिक होती है?|प्रारंभिक अवस्था|विस्तार की अवस्था|संकुचित अवस्था|सेवानिवृत्ति|विस्तार की अवस्था|Home Science_C16|30
11|समय योजना बनाने से क्या लाभ होता है?|समय बर्बाद होता है|कार्य समय पर पूरे होते हैं|तनाव बढ़ता है|लागत बढ़ती है|कार्य समय पर पूरे होते हैं|Home Science_C16|30
12|'पीक लोड' (Peak Load) अवधि का क्या अर्थ है?|आराम का समय|जब काम का बोझ सबसे कम हो|जब काम का बोझ सबसे अधिक हो|मनोरंजन का समय|जब काम का बोझ सबसे अधिक हो|Home Science_C16|30
13|निम्नलिखित में से कौन सा गैर-मानवीय संसाधन है?|रुचि|सामुदायिक सुविधाएं|अभिवृत्ति|ज्ञान|सामुदायिक सुविधाएं|Home Science_C16|30
14|प्रबंधन प्रक्रिया का अंतिम चरण क्या है?|योजना|संगठन|नियंत्रण|मूल्यांकन (Evaluation)|मूल्यांकन (Evaluation)|Home Science_C16|30
15|कार्य सरलीकरण की एक तकनीक है:|कार्य में बदलाव करना|उचित उपकरणों का प्रयोग|आराम के लिए समय निकालना|उपरोक्त सभी|उपरोक्त सभी|Home Science_C16|30
16|निर्णय लेने की प्रक्रिया का पहला कदम क्या है?|विकल्पों की खोज|समस्या को परिभाषित करना|सर्वश्रेष्ठ विकल्प चुनना|निर्णय का मूल्यांकन करना|समस्या को परिभाषित करना|Home Science_C16|30
