id|question|opt1|opt2|opt3|opt4|answer|tags|time_limit_seconds
1|The history of the English language begins with the coming of the ______ to mainland Britain.|Romans|Normans|Anglo-Saxons|Vikings|Anglo-Saxons|The_Story_of_English_C1|30
2|The Old English period spans from AD 449 to...|AD 1066|AD 1150|AD 1200|AD 1340|AD 1066|The_Story_of_English_C1|30
3|Which of these was NOT one of the Germanic tribes that invaded England?|The Angles|The Saxons|The Jutes|The Goths|The Goths|The_Story_of_English_C1|30
4|The Anglo-Saxons came from the region that is now modern-day...|France|Italy|Germany and Denmark|Spain|Germany and Denmark|The_Story_of_English_C1|30
5|The name 'England' is derived from the name of which tribe?|The Saxons|The Jutes|The Angles|The Celts|The Angles|The_Story_of_English_C1|30
6|Old English is also known as...|Proto-English|Anglo-Saxon|Middle English|Celtic|Anglo-Saxon|The_Story_of_English_C1|30
7|Old English was primarily a ______ language.|Latinate|Celtic|Germanic|Romance|Germanic|The_Story_of_English_C1|30
8|Which of these is a major characteristic of Old English?|A fixed word order|A very large vocabulary from French|It was a highly inflected language|It had no alphabet|It was a highly inflected language|The_Story_of_English_C11|30
9|What does 'inflected language' mean?|Words have many different spellings|Words change form to show grammatical function|The language has a simple grammar|The language is spoken with a specific accent|Words change form to show grammatical function|The_Story_of_English_C1|30
10|The alphabet of Old English, before the adoption of the Latin alphabet, was called...|Hieroglyphics|Cuneiform|Runes (Futhark)|Cyrillic|Runes (Futhark)|The_Story_of_English_C1|30
11|How many major dialects of Old English were there?|Two|Three|Four|Five|Four|The_Story_of_English_C1|30
12|Which of these was NOT a dialect of Old English?|Northumbrian|Mercian|Kentish|Anglian|Anglian|The_Story_of_English_C1|30
13|Which dialect of Old English became the standard for literature, largely due to King Alfred?|Northumbrian|Mercian|Kentish|West-Saxon|West-Saxon|The_Story_of_English_C1|30
14|The most famous and important surviving work of Old English literature is...|The Canterbury Tales|Le Morte d'Arthur|Beowulf|Sir Gawain and the Green Knight|Beowulf|The_Story_of_English_C1|30
15|'Beowulf' is a/an...|short lyric poem|epic poem|historical novel|religious play|epic poem|The_Story_of_English_C1|30
16|Who is considered the 'father of English history'?|King Alfred|Caedmon|Cynewulf|The Venerable Bede|The Venerable Bede|The_Story_of_English_C1|30
17|King Alfred the Great was instrumental in the promotion of which language over Latin?|French|Greek|Old Norse|Old English|Old English|The_Story_of_English_C1|30
18|What major historical record was initiated during King Alfred's reign?|The Domesday Book|The Magna Carta|The Anglo-Saxon Chronicle|The History of the English Church|The Anglo-Saxon Chronicle|The_Story_of_English_C1|30
19|The first major influence on Old English vocabulary from another language came from...|French|Greek|Latin|Celtic|Latin|The_Story_of_English_C1|30
20|The second major linguistic invasion of England during the Old English period was by the...|Romans|Normans|Scandinavians (Vikings)|French|Scandinavians (Vikings)|The_Story_of_English_C1|30
21|Words like 'sky', 'skin', 'get', and 'they' come from which language?|Latin|French|Old Norse|Celtic|Old Norse|The_Story_of_English_C1|30
22|The period from AD 449 to AD 1066 is also known as the...|Renaissance|Dark Ages|Enlightenment|Victorian Era|Dark Ages|The_Story_of_English_C1|30
23|The native inhabitants of Britain before the Anglo-Saxons were the...|Romans|Celts|Vikings|Normans|Celts|The_Story_of_English_C1|30
24|The vocabulary of Old English was overwhelmingly...|Germanic|Latin|French|Celtic|Germanic|The_Story_of_English_C1|30
25|In Old English, nouns had grammatical...|attitude|personality|gender|height|gender|The_Story_of_English_C1|30
26|Who were Caedmon and Cynewulf?|Kings of Wessex|Famous Old English poets|Christian missionaries|Viking invaders|Famous Old English poets|The_Story_of_English_C1|30
27|The introduction of Christianity to England brought a large influx of words from...|Greek and Hebrew|Latin|Old Norse|French|Latin|The_Story_of_English_C1|30
28|The literature of the Anglo-Saxon period was passed down through what tradition before being written?|Dramatic tradition|Oral tradition|Artistic tradition|Musical tradition|Oral tradition|The_Story_of_English_C1|30
29|What major historical event marks the end of the Old English period?|The Viking invasions|The conversion to Christianity|The Norman Conquest|The Black Death|The Norman Conquest|The_Story_of_English_C1|30
30|The Norman Conquest occurred in the year...|1066|1150|1215|1348|1066|The_Story_of_English_C1|30
31|The Normans brought which language to England, making it the language of power and administration?|Latin|German|French|Italian|French|The_Story_of_English_C1|30
32|Compared to Modern English, Old English grammar was...|much simpler|slightly simpler|about the same|much more complex|much more complex|The_Story_of_English_C1|30
33|The word 'Englisc' in Old English referred to the...|people of England|language of the Angles|country of England|All of the above|All of the above|The_Story_of_English_C1|30
