id|question|opt1|opt2|opt3|opt4|answer|tags|time_limit_seconds
1|جگر مرادآبادی کا اصل نام کیا تھا؟|علی سکندر|سید علی رضا|فضل الحسن|احمد علی|علی سکندر|Urdu_C23|30
2|جگر مرادآبادی کہاں پیدا ہوئے؟|لکھنؤ|آگرہ|مرادآباد|بنارس|مرادآباد|Urdu_C23|30
3|جگر مرادآبادی کس کے شاگرد تھے؟|حسرت موہانی|اصغر گونڈوی|داغ دہلوی|فانی بدایونی|اصغر گونڈوی|Urdu_C23|30
4|جگر کی شاعری کا بنیادی موضوع کیا ہے؟|تصوف اور معرفت|انقلاب اور بغاوت|حسن و عشق کی سرمستی|فلسفہ اور حکمت|حسن و عشق کی سرمستی|Urdu_C23|30
5|'شاعرِ شباب' اور 'شاعرِ رومان' کسے کہا جاتا ہے؟|فیض احمد فیض|فراق گورکھپوری|جوش ملیح آبادی|جگر مرادآبادی|جگر مرادآبادی|Urdu_C23|30
6|غزل میں 'حرارت' سے کیا مراد ہے؟|آگ کی گرمی|بخار کی تیزی|عشق کی گرمی اور جوش|موسم کی تپش|عشق کی گرمی اور جوش|Urdu_C23|30
7|جگر کی غزلوں میں کس چیز کا ذکر کثرت سے ملتا ہے؟|سیاست|شراب اور مے خانہ|غربت|فطرت|شراب اور مے خانہ|Urdu_C23|30
8|'آتشِ گل' کس کا شعری مجموعہ ہے؟|فانی|اصغر|حسرت|جگر|جگر|Urdu_C23|30
9|جگر مرادآبادی کا انتقال کہاں ہوا؟|کراچی|لاہور|مرادآباد|گونڈہ|گونڈہ|Urdu_C23|30
10|'یہ عشق نہیں آساں بس اتنا سمجھ لیجے' - یہ مصرع کس کا ہے؟|غالب|میر|جگر|اقبال|جگر|Urdu_C23|30
11|جگر کی شاعری کا لہجہ کیسا ہے؟|مایوس کن|مترنم، پرجوش اور سرشار|بہت سنجیدہ|طنزیہ|مترنم، پرجوش اور سرشار|Urdu_C23|30
12|جگر نے اپنی شاعری میں 'ساقی' کسے کہا ہے؟|شراب پلانے والے کو|محبوب کو|خدا کو|پیرِ مغاں کو|محبوب کو|Urdu_C23|30
13|جگر مرادآبادی کو ساہتیہ اکادمی ایوارڈ کس کتاب پر ملا؟|داغِ جگر|شعلۂ طور|آتشِ گل|کلیاتِ جگر|آتشِ گل|Urdu_C23|30
14|جگر کی زندگی میں کون سا بڑا انقلاب آیا؟|انہوں نے شاعری چھوڑ دی|وہ بہت امیر ہو گئے|انہوں نے شراب نوشی سے توبہ کر لی|وہ سیاست میں آ گئے|انہوں نے شراب نوشی سے توبہ کر لی|Urdu_C23|30
15|'سرمستی' کا کیا مطلب ہے؟|سر میں درد|بے خودی اور مدہوشی|بہت ہوشیاری|غمگینی|بے خودی اور مدہوشی|Urdu_C23|30
16|جگر کی غزل میں 'بہار' کس کی علامت ہے؟|ایک موسم|خوشی اور امید|جوانی اور محبوب کی آمد|پھولوں کا کھلنا|جوانی اور محبوب کی آمد|Urdu_C23|30
17|'شعلۂ طور' کس کا شعری مجموعہ ہے؟|فانی|اصغر|جوش|جگر|جگر|Urdu_C23|30
18|جگر کے نزدیک عشق کیا ہے؟|ایک بیماری|ایک ناکامی|زندگی کی سب سے بڑی حقیقت اور توانائی|ایک دھوکہ|زندگی کی سب سے بڑی حقیقت اور توانائی|Urdu_C23|30
19|'ہم کو مٹا سکے یہ زمانہ میں دم نہیں' - اس مصرعے میں کیسا جذبہ پایا جاتا ہے؟|عاجزی|خوف|خود اعتمادی اور حوصلہ|شکایت|خود اعتمادی اور حوصلہ|Urdu_C23|30
20|جگر کو کس یونیورسٹی نے 'ڈاکٹر آف لٹریچر' کی اعزازی ڈگری دی؟|پنجاب یونیورسٹی|علی گڑھ مسلم یونیورسٹی|دہلی یونیورسٹی|لکھنؤ یونیورسٹی|علی گڑھ مسلم یونیورسٹی|Urdu_C23|30
21|جگر کی شاعری میں 'رندی' سے کیا مراد ہے؟|صرف شراب پینا|دنیاوی اصولوں سے بے نیازی اور قلندرانہ پن|آوارگی|بری عادتیں|دنیاوی اصولوں سے بے نیازی اور قلندرانہ پن|Urdu_C23|30
22|'داغِ جگر' کس کی پہلی تصنیف ہے؟|جگر مرادآبادی|فراق گورکھپوری|فانی بدایونی|حسرت موہانی|جگر مرادآبادی|Urdu_C23|30
23|جگر کے کلام میں کس چیز کا حسین امتزاج ملتا ہے؟|قدیم اور جدید|تصوف اور رندی|حسن اور عشق|یہ تمام|یہ تمام|Urdu_C23|30
24|'میکدہ' کسے کہتے ہیں؟|مسجد|مندر|شراب خانہ|اسکول|شراب خانہ|Urdu_C23|30
25|جگر کی مقبولیت کی سب سے بڑی وجہ کیا تھی؟|ان کی شخصیت|ان کا ترنم اور پڑھنے کا انداز|ان کی دولت|ان کی سیاست|ان کا ترنم اور پڑھنے کا انداز|Urdu_C23|30
26|'آدمی آدمی سے ملتا ہے، دل مگر کم کسی سے ملتا ہے' - یہ شعر کس فلسفے کی عکاسی کرتا ہے؟|ظاہری ملاقاتوں اور باطنی تعلق میں فرق|دنیا میں اچھے لوگوں کی کمی|دوستی کی اہمیت|انسانی فطرت کی پیچیدگی|ظاہری ملاقاتوں اور باطنی تعلق میں فرق|Urdu_C23|30
27|جگر کا تعلق کس دبستانِ شاعری سے تھا؟|دہلی|لکھنؤ|رام پور|کوئی خاص نہیں|کوئی خاص نہیں|Urdu_C23|30
28|'کفر' کا لفظ جگر کی شاعری میں کس معنی میں استعمال ہوا ہے؟|خدا کا انکار|محبوب کی زلفیں|دنیاوی اصول|محبت کا مذہب|محبوب کی زلفیں|Urdu_C23|30
29|جگر کی شاعری میں امید کا پہلو کیسا ہے؟|بہت کم|بہت زیادہ اور روشن|مایوس کن|غیر واضح|بہت زیادہ اور روشن|Urdu_C23|30
30|'اک لفظِ محبت کا ادنیٰ یہ فسانہ ہے' - اس مصرعے میں شاعر محبت کو کیا کہہ رہا ہے؟|بہت پیچیدہ|بہت مختصر|ایک چھوٹی سی کہانی|ایک لمبی داستان|ایک چھوٹی سی کہانی|Urdu_C23|30
31|جگر مرادآبادی کا انتقال کب ہوا؟|1958|1960|1962|1965|1960|Urdu_C23|30
32|'نغمہ' اور 'ترنم' کس شاعر کی شاعری کی اہم خصوصیات ہیں؟|فانی|یگانہ|جگر|اصغر|جگر|Urdu_C23|30
33|جگر کے نزدیک محبت کا مقصد کیا ہے؟|صرف محبوب کا حصول|انسانیت کی تکمیل|خود کو مٹا دینا|دنیا سے بیزاری|انسانیت کی تکمیل|Urdu_C23|30
34|'پارسائی' کا کیا مطلب ہے؟|گناہ گاری|نیکی، پرہیزگاری|بے وقوفی|چالاکی|نیکی، پرہیزگاری|Urdu_C23|30
35|جگر نے اپنی شاعری میں کس کو 'زندگی کی حرارت' قرار دیا ہے؟|دولت کو|علم کو|عشق کو|جوانی کو|عشق کو|Urdu_C23|30
36|'نظر' کا لفظ جگر کے ہاں کس معنی میں کثرت سے استعمال ہوا ہے؟|آنکھ|دیکھنا|محبوب کی ایک نگاہ|توجہ|محبوب کی ایک نگاہ|Urdu_C23|30
37|جگر کی شاعری کس طبقے میں زیادہ مقبول ہوئی؟|صرف خواص میں|صرف عوام میں|عوام اور خواص دونوں میں|کسی میں نہیں|عوام اور خواص دونوں میں|Urdu_C23|30
38|'بے خودی' سے کیا مراد ہے؟|ہوش میں رہنا|اپنے آپ سے بے خبر ہو جانا|پاگل پن|غصہ|اپنے آپ سے بے خبر ہو جانا|Urdu_C23|30
39|جگر کے کلام میں 'فطرت' کا ذکر کس حوالے سے آتا ہے؟|سائنسی حوالے سے|حسن اور عشق کے پس منظر کے طور پر|ماحولیات کے تحفظ کے لیے|جغرافیائی حوالے سے|حسن اور عشق کے پس منظر کے طور پر|Urdu_C23|30
40|'کیا چیز ہے جوانی، کوئی کیا ہمیں بتائے' - اس مصرعے میں کیسا انداز ہے؟|سوالیہ|عاجزانہ|فخریہ اور سرشار|افسردہ|فخریہ اور سرشار|Urdu_C23|30
41|جگر کے کلام میں موسیقی کا عنصر کس وجہ سے ہے؟|وہ خود موسیقار تھے|الفاظ کے انتخاب اور بحروں کے استعمال کی وجہ سے|ان کے دوست موسیقار تھے|وہ گایا کرتے تھے|الفاظ کے انتخاب اور بحروں کے استعمال کی وجہ سے|Urdu_C23|30
42|'توبہ' کا ذکر جگر کی شاعری میں کس طرح ہے؟|ایک مستقل کیفیت|ایک ٹوٹ جانے والی رسم|ایک ناممکن عمل|ایک سماجی دباؤ|ایک ٹوٹ جانے والی رسم|Urdu_C23|30
43|جگر کے نزدیک عشق کی آگ کیسی ہے؟|تباہ کرنے والی|زندگی بخشنے والی اور روشن کرنے والی|صرف جلانے والی|ٹھنڈی آگ|زندگی بخشنے والی اور روشن کرنے والی|Urdu_C23|30
44|'گلشن' (باغ) جگر کی شاعری میں کس کی علامت ہے؟|ایک پارک|دنیا|محبوب کا چہرہ|خوشی کا مقام|دنیا|Urdu_C23|30
45|جگر کی زندگی کا بڑا حصہ کہاں گزرا؟|دہلی اور لکھنؤ|مرادآباد اور گونڈہ|لاہور اور کراچی|حیدرآباد اور بھوپال|مرادآباد اور گونڈہ|Urdu_C23|30
46|'صاف آتے ہیں نظر انجام و آغاز ایک ساتھ' - اس میں کون سا فلسفہ بیان ہوا ہے؟|وحدت الوجود|وقت کا دائرہ وار تصور|زندگی کی بے ثباتی|محبت کی طاقت|وقت کا دائرہ وار تصور|Urdu_C23|30
47|جگر کو کون سا کھیل پسند تھا؟|کرکٹ|ہاکی|شطرنج|کبڈی|شطرنج|Urdu_C23|30
48|جگر کی شاعری کا بنیادی پیغام کیا ہے؟|مایوسی|محبت اور زندگی سے بھرپور لطف اندوز ہونا|انقلاب|دنیا سے کنارہ کشی|محبت اور زندگی سے بھرپور لطف اندوز ہونا|Urdu_C23|30
49|'اہلِ خرد' سے کون لوگ مراد ہیں؟|عقل والے، فلسفی|دل والے، عاشق|شرابی|پاگل|عقل والے، فلسفی|Urdu_C23|30
50|جگر کی غزل 'حرارت' کا مجموعی تاثر کیا ہے؟|زندگی کی ٹھنڈک|زندگی کی گرمی اور توانائی|زندگی کا دکھ|زندگی کا خاتمہ|زندگی کی گرمی اور توانائی|Urdu_C23|30
