id|question|opt1|opt2|opt3|opt4|answer|tags|time_limit_seconds
1|افسانہ 'پرامس' کے مصنف کون ہیں؟|شوکت صدیقی|شفیع جاوید|انتظار حسین|احمد ندیم قاسمی|شفیع جاوید|Urdu_C8|30
2|شفیع جاوید کا تعلق کس شہر سے ہے؟|گیا|پٹنہ|مظفر پور|کراچی|مظفر پور|Urdu_C8|30
3|'پرامس' کا اردو میں کیا مطلب ہے؟|وعدہ|قسم|امید|دھوکہ|وعدہ|Urdu_C8|30
4|افسانے کا مرکزی کردار کون ہے؟|حامد|جمشید|امّو|رشیدہ|امّو|Urdu_C8|30
5|کہانی کا بنیادی موضوع کیا ہے؟|محبت|وعدہ خلافی|اولاد کی بے حسی|غربت|اولاد کی بے حسی|Urdu_C8|30
6|امّو اپنے بیٹوں سے کیا پرامس لیتی ہیں؟|گھر واپس آنے کا|پیسے بھیجنے کا|ان کی تدفین گاؤں میں کرنے کا|ان کی خدمت کرنے کا|ان کی تدفین گاؤں میں کرنے کا|Urdu_C8|30
7|امّو کے کتنے بیٹے تھے؟|دو|تین|چار|ایک|چار|Urdu_C8|30
8|امّو کے بیٹے کہاں رہتے تھے؟|گاؤں میں|شہر میں|بیرون ملک|پڑوس میں|بیرون ملک|Urdu_C8|30
9|کہانی کا راوی کون ہے؟|مصنف خود|امّو کا سب سے چھوٹا بیٹا|ایک پڑوسی|ایک غیر جانبدار کردار|امّو کا سب سے چھوٹا بیٹا|Urdu_C8|30
10|امّو کا انتقال کہاں ہوتا ہے؟|اپنے گاؤں کے گھر میں|بڑے بیٹے کے گھر|ہسپتال میں|چھوٹے بیٹے کے گھر|بڑے بیٹے کے گھر|Urdu_C8|30
11|بیٹے اپنی ماں کی لاش کو گاؤں کیوں نہیں لے جانا چاہتے تھے؟|پیسوں کی کمی کی وجہ سے|وقت کی کمی کی وجہ سے|سماجی دباؤ کی وجہ سے|راستے کی مشکلات اور پریشانی کی وجہ سے|راستے کی مشکلات اور پریشانی کی وجہ سے|Urdu_C8|30
