id|question|opt1|opt2|opt3|opt4|answer|tags|time_limit_seconds
1|نظم 'مستقبل' کے شاعر کون ہیں؟|اقبال|غالب|حالی|جوش|حالی|Urdu_C21|30
2|الطاف حسین حالی کا اصل نام کیا تھا؟|الطاف حسین|خواجہ الطاف حسین حالی|محمد حسین|علی بخش|خواجہ الطاف حسین حالی|Urdu_C21|30
3|حالی کی پیدائش کہاں ہوئی؟|دہلی|پانی پت|لکھنؤ|آگرہ|پانی پت|Urdu_C21|30
4|نظم 'مستقبل' کا بنیادی موضوع کیا ہے؟|عشق و محبت|قوم کا مستقبل اور اس کی اصلاح|فطرت کی منظر کشی|بادشاہوں کی تعریف|قوم کا مستقبل اور اس کی اصلاح|Urdu_C21|30
5|حالی کس ادبی تحریک کے سب سے بڑے علمبردار تھے؟|ترقی پسند تحریک|علی گڑھ تحریک|رومانوی تحریک|جدیدیت|علی گڑھ تحریک|Urdu_C21|30
6|'مستقبل' کا کیا مطلب ہے؟|ماضی|حال|آنے والا زمانہ|گزرا ہوا زمانہ|آنے والا زمانہ|Urdu_C21|30
7|حالی نے نظم میں کس سے خطاب کیا ہے؟|صرف خود سے|صرف حکومت سے|قوم کے نوجوانوں سے|بزرگوں سے|قوم کے نوجوانوں سے|Urdu_C21|30
8|حالی کے نزدیک قوم کی ترقی کا راز کس چیز میں ہے؟|ماضی پر فخر کرنے میں|عمل اور مسلسل کوشش میں|قسمت پر بھروسہ کرنے میں|آرام کرنے میں|عمل اور مسلسل کوشش میں|Urdu_C21|30
9|'مسدسِ حالی' کا دوسرا اور زیادہ مشہور نام کیا ہے؟|شاہنامہ اسلام|یادگارِ غالب|شکوہ ہند|مد و جزرِ اسلام|مد و جزرِ اسلام|Urdu_C21|30
10|نظم 'مستقبل' کا لہجہ کیسا ہے؟|مزاحیہ|اصلاحی اور فکرمندانہ|عاشقانہ|خوش فہمی پر مبنی|اصلاحی اور فکرمندانہ|Urdu_C21|30
11|حالی نے قوم کی موجودہ حالت کو کیسا دکھایا ہے؟|بہت اچھا|قابلِ رشک|پستی اور غفلت کا شکار|ترقی یافتہ|پستی اور غفلت کا شکار|Urdu_C21|30
12|'تلافی' کا کیا مطلب ہے؟|نقصان|فائدہ|نقصان کا ازالہ، بھرپائی|کوشش|نقصان کا ازالہ، بھرپائی|Urdu_C21|30
13|حالی نے کس کی سوانح عمری 'حیاتِ جاوید' کے نام سے لکھی؟|غالب|سرسید احمد خان|شیخ سعدی|خود اپنی|سرسید احمد خان|Urdu_C21|30
14|شاعر کے مطابق مستقبل کو بہتر بنانے کے لیے کیا ضروری ہے؟|ماضی کو بھول جانا|حال میں محنت کرنا|صرف دعائیں کرنا|دوسروں پر انحصار کرنا|حال میں محنت کرنا|Urdu_C21|30
15|'شمس العلماء' کا خطاب حکومت نے کسے دیا تھا؟|شبلی|آزاد|اقبال|حالی|حالی|Urdu_C21|30
16|حالی نے اپنی نظم میں کس چیز سے بچنے کی تلقین کی ہے؟|محنت سے|علم سے|کاہلی اور بے عملی سے|تجارت سے|کاہلی اور بے عملی سے|Urdu_C21|30
17|'مقدمہ شعر و شاعری' کس کی تصنیف ہے اور اسے کیا سمجھا جاتا ہے؟|غالب کی، دیوان|حالی کی، اردو کی پہلی تنقیدی کتاب|شبلی کی، سوانح|آزاد کی، تاریخ|حالی کی، اردو کی پہلی تنقيدية کتاب|Urdu_C21|30
18|نظم میں 'کارواں' سے کون مراد ہیں؟|تاجروں کا گروہ|مسافر|قوم کے افراد|فوج|قوم کے افراد|Urdu_C21|30
19|حالی کے نزدیک قوموں کی زندگی کا انحصار کس پر ہے؟|ان کی تاریخ پر|ان کے عمل پر|ان کی آبادی پر|ان کے جغرافیہ پر|ان کے عمل پر|Urdu_C21|30
20|'غفران' کا کیا معنی ہے؟|نفرت|محبت|بخشش، مغفرت|سزا|بخشش، مغفرت|Urdu_C21|30
21|حالی نے شاعری کو کیسا ہونا چاہیے؟|خیالی اور فرضی|زندگی کا ترجمان اور مقصدیت سے بھرپور|صرف تفریح کا ذریعہ|صرف تعریفوں پر مبنی|زندگی کا ترجمان اور مقصدیت سے بھرپور|Urdu_C21|30
