id|question|opt1|opt2|opt3|opt4|answer|tags|time_limit_seconds
1|فیض احمد فیض کا شمار کس ادبی تحریک کے نمائندہ شاعروں میں ہوتا ہے؟|علی گڑھ تحریک|ترقی پسند تحریک|حلقہ ارباب ذوق|جدیدیت|ترقی پسند تحریک|Urdu_C24|30
2|فیض احمد فیض کہاں پیدا ہوئے؟|لاہور|کراچی|سیالکوٹ|لکھنؤ|سیالکوٹ|Urdu_C24|30
3|غزل میں 'دریا' کس چیز کا استعارہ ہو سکتا ہے؟|زندگی کا سفر|عشق کی شدت|انقلاب کا دھارا|یہ تمام|یہ تمام|Urdu_C24|30
4|فیض کی شاعری کا بنیادی محور کیا ہے؟|صرف حسن و عشق|غمِ جاناں اور غمِ دوراں کا امتزاج|صرف فطرت نگاری|مزاحیہ شاعری|غمِ جاناں اور غمِ دوراں کا امتزاج|Urdu_C24|30
5|فیض احمد فیض کو کونسا بین الاقوامی ایوارڈ ملا؟|نوبل انعام|آسکر ایوارڈ|لینن امن انعام|بکر پرائز|لینن امن انعام|Urdu_C24|30
6|'نسخہ ہائے وفا' کس کے کلام کی کلیات ہے؟|جوش ملیح آبادی|فراق گورکھپوری|فیض احمد فیض|اختر الایمان|فیض احمد فیض|Urdu_C24|30
7|فیض کی غزل میں 'دریا' کے کنارے پیاسا رہنا کس بات کی علامت ہے؟|وسائل کے ہوتے ہوئے بھی محرومی|پانی کی کمی|شاعر کی بھول|محبوب کی بے وفائی|وسائل کے ہوتے ہوئے بھی محرومی|Urdu_C24|30
8|'نقشِ فریادی' کس کا پہلا شعری مجموعہ ہے؟|ناصر کاظمی|احمد فراز|منیر نیازی|فیض احمد فیض|فیض احمد فیض|Urdu_C24|30
9|فیض احمد فیض کا انتقال کہاں ہوا؟|لندن|ماسکو|لاہور|کراچی|لاہور|Urdu_C24|30
10|'موج' اور 'گرداب' جیسے الفاظ غزل میں کس کے لوازمات ہیں؟|صحرا|آسمان|دریا|پہاڑ|دریا|Urdu_C24|30
11|فیض کی شاعری میں 'زنداں' (قید خانہ) کا ذکر بار بار کیوں آتا ہے؟|وہ جیلر تھے|انہوں نے قید و بند کی صعوبتیں برداشت کیں|یہ ایک شاعرانہ روایت ہے|انہیں یہ لفظ پسند تھا|انہوں نے قید و بند کی صعوبتیں برداشت کیں|Urdu_C24|30
12|'مجھ سے پہلی سی محبت مری محبوب نہ مانگ' - یہ نظم کس نے لکھی؟|اقبال|جوش|فیض|ساحر|فیض|Urdu_C24|30
13|غزل میں 'دریا' کا بہاؤ کس چیز کی علامت ہے؟|ٹھہراؤ|وقت کا تسلسل اور زندگی کی روانی|موت|خاموشی|وقت کا تسلسل اور زندگی کی روانی|Urdu_C24|30
14|'دستِ صبا' کس کا شعری مجموعہ ہے؟|جگر مرادآبادی|حسرت موہانی|فیض احمد فیض|اصغر گونڈوی|فیض احمد فیض|Urdu_C24|30
15|فیض کے نزدیک عشق کا تصور کیسا ہے؟|صرف ذاتی اور محدود|ذاتی غم سے کائنات کے غم تک پھیلا ہوا|ایک ناکام جذبہ|ایک گناہ|ذاتی غم سے کائنات کے غم تک پھیلا ہوا|Urdu_C24|30
16|'کشتی' کا استعارہ فیض کی شاعری میں کس کے لیے ہو سکتا ہے؟|ایک سواری|انسان کی زندگی یا جدوجہد|ایک کھلونا|دریا کا حصہ|انسان کی زندگی یا جدوجہد|Urdu_C24|30
17|فیض احمد فیض پیشے کے اعتبار سے کیا تھے؟|ڈاکٹر|وکیل|فوجی افسر اور صحافی/استاد|تاجر|فوجی افسر اور صحافی/استاد|Urdu_C24|30
18|'تلاطم' کا کیا مطلب ہے؟|خاموشی|سکون|طغیانی، موجوں کا ٹکراؤ|کنارہ|طغیانی، موجوں کا ٹکراؤ|Urdu_C24|30
19|فیض کی غزل کا لہجہ کیسا ہے؟|صرف پرجوش اور انقلابی|دھیما، نرم اور فکر انگیز|بہت بلند آہنگ|طنزیہ اور مزاحیہ|دھیما، نرم اور فکر انگیز|Urdu_C24|30
20|'سرِ وادیِ سینا' کس کی تصنیف ہے؟|ابنِ انشا|فیض احمد فیض|ناصر کاظمی|پروین شاکر|فیض احمد فیض|Urdu_C24|30
21|غزل میں 'ساحل' یا 'کنارہ' کس کی علامت ہو سکتا ہے؟|کامیابی یا منزل|ناکامی|سفر کا آغاز|موت|کامیابی یا منزل|Urdu_C24|30
