id|question|opt1|opt2|opt3|opt4|answer|tags|time_limit_seconds
1|'ہجرت' کس کی تصنیف ہے؟|احمد جمال پاشا|وزیر آغا|خواجہ حسن نظامی|رشید احمد صدیقی|احمد جمال پاشا|Urdu_C5|30
2|'ہجرت' کا تعلق کس صنفِ ادب سے ہے؟|افسانہ|ناول|انشائیہ|خاکہ|انشائیہ|Urdu_C5|30
3|احمد جمال پاشا کی پیدائش کب ہوئی؟|1929ء|1930ء|1928ء|1931ء|1929ء|Urdu_C5|30
4|احمد جمال پاشا کا انتقال کب ہوا؟|1987ء|1988ء|1986ء|1989ء|1987ء|Urdu_C5|30
5|احمد جمال پاشا کہاں پیدا ہوئے؟|الہ آباد، ہندوستان|لکھنؤ، ہندوستان|دہلی، ہندوستان|حیدرآباد، ہندوستان|الہ آباد، ہندوستان|Urdu_C5|30
6|احمد جمال پاشا کا اصل نام کیا تھا؟|نثار احمد پاشا|شوکت علی خان|مشتاق احمد یوسفی|محمد نذیر خان|نثار احمد پاشا|Urdu_C5|30
7|احمد جمال پاشا نے کس یونیورسٹی سے ایم اے کیا؟|علی گڑھ مسلم یونیورسٹی|دہلی یونیورسٹی|لکھنؤ یونیورسٹی|الہ آباد یونیورسٹی|علی گڑھ مسلم یونیورسٹی|Urdu_C5|30
8|انشائیہ 'ہجرت' میں مصنف نے کس چیز کو مرکزی خیال بنایا ہے؟|ہجرت کے روحانی اور نفسیاتی پہلو کو|ہجرت کے تاریخی واقعات کو|ہجرت کے معاشی فوائد کو|ہجرت کے سیاسی اسباب کو|ہجرت کے روحانی اور نفسیاتی پہلو کو|Urdu_C5|30
9|مصنف کے مطابق، انسان کی فطرت میں کیا شامل ہے؟|سکون سے بیٹھنا|سفر کرنا اور ہجرت کرنا|لڑائی جھگڑا کرنا|خاموش رہنا|سفر کرنا اور ہجرت کرنا|Urdu_C5|30
10|انشائیہ کا آغاز کس ماحول سے ہوتا ہے؟|ایک پرتعیش جنت سے|ایک خوفناک صحرا سے|ایک مصروف شہر سے|ایک پرسکون گاؤں سے|ایک پرتعیش جنت سے|Urdu_C5|30
11|مصنف نے جنت کو کس کی علامت کے طور پر پیش کیا ہے؟|سکون، عافیت اور بے عملی کی جگہ|محنت اور مشقت کی جگہ|علم اور دانش کی جگہ|جنگ اور جدل کی جگہ|سکون، عافیت اور بے عملی کی جگہ|Urdu_C5|30
12|جنت سے نکلنے کا مشورہ کون دیتا ہے؟|سانپ|فرشتہ|ایک بوڑھا آدمی (شیخ)|مصنف خود|ایک بوڑھا آدمی (شیخ)|Urdu_C5|30
13|بوڑھا آدمی (شیخ) کس چیز کی علامت ہے؟|تجربہ اور دنیا داری|معصومیت اور سادگی|شیطانیت اور بہکاوہ|علم اور حکمت|تجربہ اور دنیا داری|Urdu_C5|30
14|'ہجرت' میں صحرا کس چیز کا استعارہ ہے؟|زندگی کی جدوجہد، مشکلات اور تلاش|آرام اور سکون|خوبصورتی اور دلکشی|موت اور فنا|زندگی کی جدوجہد، مشکلات اور تلاش|Urdu_C5|30
15|مصنف کے مطابق، اصل زندگی کہاں ہے؟|جنت کے آرام میں|صحرا کی خاک چھاننے میں|شہر کی بھیڑ میں|گاؤں کی خاموشی میں|صحرا کی خاک چھاننے میں|Urdu_C5|30
