id|question|opt1|opt2|opt3|opt4|answer|tags|time_limit_seconds
1|نظم 'برقِ کلیسا' کے شاعر کون ہیں؟|علامہ اقبال|اکبر الہ آبادی|فیض احمد فیض|جوش ملیح آبادی|اکبر الہ آبادی|Urdu_C14|30
2|اکبر الہ آبادی کا اصل نام کیا تھا؟|اکبر حسین رضوی|محمد اکبر|اکبر علی خان|سید احمد حسین|اکبر حسین رضوی|Urdu_C14|30
3|'برقِ کلیسا' کا کیا مطلب ہے؟|کلیسا کی روشنی|کلیسا کی گھنٹی|کلیسا کی بجلی|کلیسا کی عمارت|کلیسا کی بجلی|Urdu_C14|30
4|اکبر الہ آبادی کس چیز کے لیے مشہور ہیں؟|مرثیہ گوئی|رومانوی شاعری|طنز و مزاح|بچوں کی شاعری|طنز و مزاح|Urdu_C14|30
5|نظم میں 'برق' (بجلی) کسے کہا گیا ہے؟|آسمانی بجلی کو|شاعر کو|ایک انگریز خاتون (مِس) کو|پادری کو|ایک انگریز خاتون (مِس) کو|Urdu_C14|30
6|شاعر کی ملاقات 'مِس' سے کہاں ہوتی ہے؟|باغ میں|کالج میں|کلیسا (گرجا گھر) میں|بازار میں|کلیسا (گرجا گھر) میں|Urdu_C14|30
7|یہ نظم صنف کے اعتبار سے کیا ہے؟|غزل|قصیدہ|مثنوی|ظریفانہ نظم|ظریفانہ نظم|Urdu_C14|30
8|اکبر الہ آبادی کی پیدائش کب ہوئی؟|1846|1850|1860|1877|1846|Urdu_C14|30
9|نظم کا مرکزی خیال کیا ہے؟|مشرقی اور مغربی تہذیب کا تصادم|عشق و محبت کی داستان|مذہبی رواداری|فطرت کی منظر کشی|مشرقی اور مغربی تہذیب کا تصادم|Urdu_C14|30
10|'لسان العصر' کس شاعر کا خطاب تھا؟|غالب|اقبال|حالی|اکبر الہ آبادی|اکبر الہ آبادی|Urdu_C14|30
11|نظم میں 'مِس' شاعر سے کیا سوال پوچھتی ہے؟|آپ کا نام کیا ہے؟|کیا آپ شاعر ہیں؟|جنت میں بھی یہی کچھ ہو گا؟|آپ یہاں کیا کر رہے ہیں؟|جنت میں بھی یہی کچھ ہو گا؟|Urdu_C14|30
12|مِس کے سوال پر شاعر کا جواب کیسا تھا؟|سنجیدہ|غصے والا|خاموشی|مزاحیہ اور طنز یہ|مزاحیہ اور طنز یہ|Urdu_C14|30
13|اکبر الہ آبادی کا انتقال کہاں ہوا؟|دہلی|لکھنؤ|آگرہ|الہ آباد|الہ آباد|Urdu_C14|30
14|نظم میں شاعر کس تہذیب کی نمائندگی کر رہا ہے؟|مغربی تہذیب|مشرقی تہذیب|ایرانی تہذیب|عربی تہذیب|مشرقی تہذیب|Urdu_C14|30
15|نظم میں 'مِس' کس تہذیب کی علامت ہے؟|مشرقی تہذیب|جدید مغربی تہذیب|دیہی تہذیب|قدیم تہذیب|جدید مغربی تہذیب|Urdu_C14|30
16|اکبر الہ آبادی پیشے کے اعتبار سے کیا تھے؟|وکیل اور جج|ڈاکٹر|استاد|تاجر|وکیل اور جج|Urdu_C14|30
17|شاعر نے جنت کا نقشہ کیسا کھینچا ہے؟|وہاں یہ سب کچھ نہیں ہوگا|وہاں اس سے بہتر چیزیں ہوں گی|وہاں صرف عبادت ہوگی|وہاں نہ مِس ہوگی نہ ملا ہوگا|وہاں نہ مِس ہوگی نہ ملا ہوگا|Urdu_C14|30
18|'جلوۂ ذاتِ کبریا' سے کیا مراد ہے؟|دنیا کا جلوہ|اللہ تعالیٰ کا نور یا جلوہ|محبوب کا جلوہ|خوبصورتی کا جلوہ|اللہ تعالیٰ کا نور یا جلوہ|Urdu_C14|30
19|اکبر کی شاعری کس تحریک کا ردِعمل تھی؟|علی گڑھ تحریک|ترقی پسند تحریک|رومانوی تحریک|آزادی کی تحریک|علی گڑھ تحریک|Urdu_C14|30
20|نظم کا لہجہ کیسا ہے؟|سنجیدہ|غمگین|طنزیہ اور مزاحیہ|حکیمانہ|طنزیہ اور مزاحیہ|Urdu_C14|30
21|'عتاب' کا کیا مطلب ہے؟|محبت|غصہ|خوشی|حیرت|غصہ|Urdu_C14|30
