id|question|opt1|opt2|opt3|opt4|answer|tags|time_limit_seconds
1|نظم 'میرا سفر' کے شاعر کون ہیں؟|فیض احمد فیض|اختر الایمان|علی سردار جعفری|جوش ملیح آبادی|علی سردار جعفری|Urdu_C15|30
2|علی سردار جعفری کا تعلق کس ادبی تحریک سے تھا؟|علی گڑھ تحریک|ترقی پسند تحریک|حلقہ ارباب ذوق|جدیدیت|ترقی پسند تحریک|Urdu_C15|30
3|علی سردار جعفری کی پیدائش کہاں ہوئی؟|رام پور|بلرام پور|لکھنؤ|علی گڑھ|بلرام پور|Urdu_C15|30
4|نظم 'میرا سفر' کس قسم کی نظم ہے؟|پابند نظم|آزاد نظم|معریٰ نظم|غزل|آزاد نظم|Urdu_C15|30
5|'میرا سفر' نظم کا موضوع کیا ہے؟|عشق و محبت|فطرت کی منظر کشی|زندگی اور موت کا فلسفہ|سیاسی انقلاب|زندگی اور موت کا فلسفہ|Urdu_C15|30
6|شاعر کے مطابق مرنے کے بعد اس کی آنکھیں کون دیکھے گا؟|اس کے دوست|اس کے بچے|وہ لوگ جو ابھی پیدا نہیں ہوئے|کوئی نہیں|وہ لوگ جو ابھی پیدا نہیں ہوئے|Urdu_C15|30
7|علی سردار جعفری کو گیان پیٹھ ایوارڈ کب ملا؟|1995|1997|1999|2000|1997|Urdu_C15|30
8|نظم میں 'سفر' سے کیا مراد ہے؟|دنیا کا سفر|آخرت کا سفر|زندگی کا سفر|علم کا سفر|زندگی کا سفر|Urdu_C15|30
9|شاعر اپنی موت کو کیا سمجھتا ہے؟|خاتمہ|ایک وقفہ|شکست|فتح|ایک وقفہ|Urdu_C15|30
10|'ایشیا جاگ اٹھا' کس کی تصنیف ہے؟|اقبال|فیض|جوش|علی سردار جعفری|علی سردار جعفری|Urdu_C15|30
11|نظم کے مطابق، شاعر کی آواز مرنے کے بعد کہاں سنائی دے گی؟|صرف قبرستان میں|کہیں نہیں|آنے والی نسلوں کے دلوں میں|صرف کتابوں میں|آنے والی نسلوں کے دلوں میں|Urdu_C15|30
