id|question|opt1|opt2|opt3|opt4|answer|tags|time_limit_seconds
1|نظم 'ہم نہیں جانتے' کے شاعر کون ہیں؟|علی سردار جعفری|اکبر الہ آبادی|یوجینیو مونتالے|امین حنفی|یوجینیو مونتالے|Urdu_C16|30
2|اس نظم کا اردو میں ترجمہ کس نے کیا ہے؟|علی سردار جعفری|امین حنفی|ظفر انصاری|شمس الرحمن فاروقی|امین حنفی|Urdu_C16|30
3|یوجینیو مونتالے کا تعلق کس ملک سے تھا؟|فرانس|اسپین|اٹلی|جرمنی|اٹلی|Urdu_C16|30
4|نظم 'ہم نہیں جانتے' صنف کے اعتبار سے کیا ہے؟|پابند نظم|آزاد نظم|معریٰ نظم|نثری نظم|آزاد نظم|Urdu_C16|30
5|نظم کا بنیادی سوال کیا ہے؟|زندگی کیا ہے؟|مستقبل کیسا ہوگا؟|خوشی کہاں ہے؟|ہماری منزل کیا ہے؟|ہماری منزل کیا ہے؟|Urdu_C16|30
6|شاعر نے مستقبل کو کس چیز سے تشبیہ دی ہے؟|ایک روشن صبح|ایک خواب|ایک کہانی|ایک سراب|ایک خواب|Urdu_C16|30
7|یوجینیو مونتالے کو ادب کا نوبل انعام کب ملا؟|1970|1975|1980|1985|1975|Urdu_C16|30
8|نظم میں 'خوابوں کا شیشہ' کس کی علامت ہے؟|خوبصورتی|امیدیں اور آرزوئیں|حقیقت|دھوکہ|امیدیں اور آرزوئیں|Urdu_C16|30
9|شاعر کے نزدیک انسانی زندگی کیسی ہے؟|یقینی اور طے شدہ|غیر یقینی اور پراسرار|آسان اور سادہ|خوشگوار|غیر یقینی اور پراسرار|Urdu_C16|30
10|'فردا' کا کیا مطلب ہے؟|آج|گزرا ہوا کل|آنے والا کل|شام|آنے والا کل|Urdu_C16|30
11|نظم کا لہجہ کیسا ہے؟|خوشگوار|پرا مید|فلسفیانہ اور استفہامیہ (سوالیہ)|طنزیہ|فلسفیانہ اور استفہامیہ (سوالیہ)|Urdu_C16|30
12|شاعر نے 'سفر' سے کیا مراد لی ہے؟|دنیا کی سیر|زندگی کا سفر|علم کا حصول|آخرت کا سفر|زندگی کا سفر|Urdu_C16|30
13|امین حنفی کا تعلق کس شہر سے تھا؟|دہلی|لکھنؤ|اندور|بھوپال|اندور|Urdu_C16|30
14|نظم میں 'بے نام ستارہ' کس کی علامت ہے؟|ایک گمراہ شخص|ایک نامعلوم منزل|ایک روشن مستقبل|ایک برا شگون|ایک نامعلوم منزل|Urdu_C16|30
15|یوجینیو مونتالے کی شاعری کا مرکزی موضوع کیا ہے؟|عشق و محبت|فطرت|جدید انسان کی الجھن اور بے سمتی|سیاست|جدید انسان کی الجھن اور بے سمتی|Urdu_C16|30
16|شاعر بار بار 'ہم نہیں جانتے' کیوں کہتا ہے؟|کیونکہ وہ جاہل ہے|انسانی علم کی محدودیت کو ظاہر کرنے کے لیے|قارئین کو الجھانے کے لیے|نظم کو طویل کرنے کے لیے|انسانی علم کی محدودیت کو ظاہر کرنے کے لیے|Urdu_C16|30
17|'ادرک' اور 'صنوبر' کا ذکر نظم میں کس طور پر آیا ہے؟|پودوں کے نام کے طور پر|زندگی کی تفصیلات اور جزئیات کے طور پر|خوشبو کی علامت کے طور پر|دواؤں کے طور پر|زندگی کی تفصیلات اور جزئیات کے طور پر|Urdu_C16|30
18|یہ نظم کس ادبی رجحان کی عکاسی کرتی ہے؟|ترقی پسندی|رومانویت|علامت نگاری|جدیدیت|جدیدیت|Urdu_C16|30
19|'گردِ راہ' کا کیا مطلب ہے؟|راستے کا پتھر|راستے کی دھول|منزل کا نشان|مسافر|راستے کی دھول|Urdu_C16|30
20|شاعر کے مطابق ہمارا انجام کیا ہے؟|یقینی|غیر یقینی|روشن|تاریک|غیر یقینی|Urdu_C16|30
21|امین حنفی بنیادی طور پر کس لیے جانے جاتے ہیں؟|شاعری|ناول نگاری|ترجمہ نگاری|تنقید|ترجمہ نگاری|Urdu_C16|30
22|نظم میں 'بحر' (سمندر) کس کی علامت ہے؟|پانی|زندگی کی وسعت اور گہرائی|سفر|خطرہ|زندگی کی وسعت اور گہرائی|Urdu_C16|30
23|مونتالے کی شاعری پر کس جنگ کے اثرات نظر آتے ہیں؟|پہلی جنگ عظیم|دوسری جنگ عظیم|فرانس کا انقلاب|روس کا انقلاب|پہلی جنگ عظیم|Urdu_C16|30
24|'شباہت' کا کیا معنی ہے؟|خواب|حقیقت|ہم شکل ہونا، مشابہت|سایہ|ہم شکل ہونا، مشابہت|Urdu_C16|30
