id|question|opt1|opt2|opt3|opt4|answer|tags|time_limit_seconds
1|'مٹی کا تیل' کس کی تصنیف ہے؟|خواجہ حسن نظامی|سرسید احمد خاں|شبلی نعمانی|حالی|خواجہ حسن نظامی|Urdu_C2|30
2|'مٹی کا تیل' کا تعلق کس صنفِ ادب سے ہے؟|مضمون|افسانہ|ناول|ڈرامہ|مضمون|Urdu_C2-ins|30
3|خواجہ حسن نظامی کی پیدائش کب ہوئی؟|1878ء|1877ء|1879ء|1880ء|1878ء|Urdu_C2|30
4|خواجہ حسن نظامی کا انتقال کب ہوا؟|1955ء|1956ء|1957ء|1958ء|1955ء|Urdu_C2|30
5|خواجہ حسن نظامی کے والد کا کیا نام تھا؟|سید عاشق علی نظامی|سید صادق علی نظامی|سید کاظم علی نظامی|سید عابد علی نظامی|سید عاشق علی نظامی|Urdu_C2|30
6|خواجہ حسن نظامی کی والدہ کا کیا نام تھا؟|چہیتی بیگم|عصمتی بیگم|رفیع النساء بیگم|محمودہ بیگم|چہیتی بیگم|Urdu_C2|30
7|خواجہ حسن نظامی کہاں پیدا ہوئے؟|بستی حضرت نظام الدین، دہلی|آگرہ|لکھنؤ|حیدرآباد|بستی حضرت نظام الدین، دہلی|Urdu_C2|30
8|خواجہ حسن نظامی کی کفالت کس نے کی؟|ان کے بڑے بھائی سید حسن علی شاہ نظامی نے|ان کے والد نے|ان کی والدہ نے|ان کے چچا نے|ان کے بڑے بھائی سید حسن علی شاہ نظامی نے|Urdu_C2|30
9|خواجہ حسن نظامی نے کس مشہور شاعر سے شاعری میں اصلاح لی؟|داغ دہلوی|میر تقی میر|غالب|اقبال|داغ دہلوی|Urdu_C2|30
10|خواجہ حسن نظامی کو 'خواجہ' کا خطاب کس نے دیا؟|علامہ اقبال|اکبر الہ آبادی|حالی|شبلی|اکبر الہ آبادی|Urdu_C2|30
11|'سی پارۂ دل' کس کی تصنیف ہے؟|خواجہ حسن نظامی|سرسید احمد خاں|محمد حسین آزاد|نذیر احمد|خواجہ حسن نظامی|Urdu_C2|30
12|مضمون 'مٹی کا تیل' میں مصنف نے کس چیز کی حقیقت کو واضح کیا ہے؟|مٹی کے تیل کی بے قدری اور اس کی افادیت کو|آگ کی تباہ کاریوں کو|پانی کی اہمیت کو|روشنی کی ضرورت کو|مٹی کے تیل کی بے قدری اور اس کی افادیت کو|Urdu_C2|30
13|مصنف کے مطابق، مٹی کا تیل کیسا ہے؟|بے قدر، بدبودار اور بدشکل|قیمتی، خوشبودار اور خوبصورت|نایاب اور مہنگا|خطرناک اور آتش گیر|بے قدر، بدبودار اور بدشکل|Urdu_C2|30
14|تمام تیلوں میں مٹی کے تیل کو کیسا شمار کیا جاتا ہے؟|ذلیل و خوار|عزت دار اور معزز|نایاب و کم یاب|مفید و کارآمد|ذلیل و خوار|Urdu_C2|30
15|مٹی کا تیل کس کی ایجاد ہے؟|قدرت کی|انسان کی|فرشتوں کی|جنات کی|قدرت کی|Urdu_C2|30
16|مصنف کے نزدیک مٹی کے تیل اور خاک میں کیا فرق ہے؟|کوئی فرق نہیں|مٹی کا تیل مائع ہے اور خاک ٹھوس|مٹی کا تیل جلتا ہے، خاک نہیں|مٹی کا تیل بدبودار ہے، خاک نہیں|کوئی فرق نہیں|Urdu_C2|30
17|چمبیلی اور موتیا کے تیل سے مٹی کے تیل کا کیا مقابلہ ہے؟|لوگ چمبیلی اور موتیا کو پسند کرتے ہیں اور مٹی کے تیل کو حقیر سمجھتے ہیں|مٹی کا تیل زیادہ خوشبودار ہے|چمبیلی کا تیل زیادہ مفید ہے|کوئی مقابلہ نہیں|لوگ چمبیلی اور موتیا کو پسند کرتے ہیں اور مٹی کے تیل کو حقیر سمجھتے ہیں|Urdu_C2|30
18|دنیا میں تمام چیزیں کس کی مظہر ہیں؟|خدا کی قدرت کی|انسان کی محنت کی|شیطان کی شرارت کی|وقت کی گردش کی|خدا کی قدرت کی|Urdu_C2|30
19|مٹی کے تیل کو دیکھ کر لوگ کیا کرتے ہیں؟|ناک بھوں چڑھاتے ہیں|خوش ہوتے ہیں|اس کی تعریف کرتے ہیں|اسے خریدتے ہیں|ناک بھوں چڑھاتے ہیں|Urdu_C2|30
