id|question|opt1|opt2|opt3|opt4|answer|tags|time_limit_seconds
1|علامہ اقبال نے 'سفر' کو کس چیز کی علامت کے طور پر استعمال کیا ہے؟|آرام و سکون|زندگی کی جدوجہد اور ارتقاء|صرف دنیا کی سیر|موت|زندگی کی جدوجہد اور ارتقاء|Urdu_C20|30
2|اقبال کی شاعری میں 'سفر' کا تصور کس چیز سے منسلک ہے؟|مادیت پرستی|بے عملی|خودی کی پہچان اور تکمیل|گوشہ نشینی|خودی کی پہچان اور تکمیل|Urdu_C20|30
3|علامہ اقبال اعلیٰ تعلیم کے لیے یورپ کب گئے؟|1900|1905|1910|1915|1905|Urdu_C20|30
4|اقبال نے یورپ میں کن ممالک کا سفر کیا؟|صرف انگلینڈ|انگلینڈ اور جرمنی|فرانس اور اٹلی|صرف جرمنی|انگلینڈ اور جرمنی|Urdu_C20|30
5|یورپ کے سفر نے اقبال کی شاعری پر کیا اثر ڈالا؟|وہ شاعری ترک کر چکے تھے|ان کی شاعری رومانوی ہو گئی|ان کا نقطہ نظر تنقیدی اور فلسفیانہ ہو گیا|کوئی خاص اثر نہیں ڈالا|ان کا نقطہ نظر تنقیدی اور فلسفیانہ ہو گیا|Urdu_C20|30
6|اقبال کے نزدیک اصل زندگی کیا ہے؟|سکون اور ٹھہراؤ|مسلسل حرکت اور جدوجہد|دولت جمع کرنا|شہرت حاصل کرنا|مسلسل حرکت اور جدوجہد|Urdu_C20|30
7|'سفرنامہ' میں شاعر کس چیز کی تلاش میں ہے؟|کھویا ہوا دوست|حقیقت اور خودی|ایک نیا ملک|آرام دہ گھر|حقیقت اور خودی|Urdu_C20|30
8|اقبال نے کس پرندے کو مسلسل سفر اور بلند پروازی کی علامت بنایا ہے؟|کبوتر|بلبل|شاہین|کوئل|شاہین|Urdu_C20|30
9|'بانگِ درا' کے تیسرے حصے کی نظمیں کس دور کی عکاسی کرتی ہیں؟|بچپن کا دور|یورپ جانے سے پہلے کا دور|یورپ میں قیام کا دور|یورپ سے واپسی کے بعد کا دور|یورپ سے واپسی کے بعد کا دور|Urdu_C20|30
10|اقبال نے مغربی تہذیب کی کس چیز پر تنقید کی؟|سائنس اور ٹیکنالوجی پر|روحانیت سے خالی مادیت پرستی پر|تعلیمی نظام پر|جمہوریت پر|روحانیت سے خالی مادیت پرستی پر|Urdu_C20|30
11|نظم 'سفرنامہ' کا لہجہ کیسا ہے؟|مزاحیہ|فلسفیانہ اور غور و فکر پر مبنی|عاشقانہ|غمگین|فلسفیانہ اور غور و فکر پر مبنی|Urdu_C20|30
12|اقبال نے پی ایچ ڈی کی ڈگری کس یونیورسٹی سے حاصل کی؟|کیمبرج یونیورسٹی|آکسفورڈ یونیورسٹی|میونخ یونیورسٹی|پنجاب یونیورسٹی|میونخ یونیورسٹی|Urdu_C20|30
13|اقبال کے نزدیک 'مومن' کی زندگی کیسی ہوتی ہے؟|آرام طلب|مسلسل سفر اور نئی دنیاؤں کی تلاش|ایک جگہ ٹھہری ہوئی|خوفزدہ|مسلسل سفر اور نئی دنیاؤں کی تلاش|Urdu_C20|30
14|'ستاروں سے آگے جہاں اور بھی ہیں' - یہ مصرع اقبال کے کس تصور کی عکاسی کرتا ہے؟|موت کا خوف|محدود زندگی کا تصور|لامحدود کائنات اور مسلسل جستجو کا تصور|دنیا کی بے ثباتی|لامحدود کائنات اور مسلسل جستجو کا تصور|Urdu_C20|30
15|اقبال نے اپنی شاعری میں 'راہرو' کسے کہا ہے؟|مسافر کو|زندگی کے سفر پر گامزن انسان کو|رہبر کو|چور کو|زندگی کے سفر پر گامزن انسان کو|Urdu_C20|30
16|یورپ سے واپسی کے بعد اقبال کی شاعری کا مرکزی موضوع کیا بن گیا؟|حسن و عشق|فلسفہ خودی اور امتِ مسلمہ کا احیاء|صرف فطرت نگاری|بچوں کی شاعری|فلسفہ خودی اور امتِ مسلمہ کا احیاء|Urdu_C20|30
17|'ضربِ کلیم' کا کیا مطلب ہے؟|کلیم کا عصا|موسیٰ کی چوٹ|فیصلہ کن ضرب|ایک کتاب کا نام|فیصلہ کن ضرب|Urdu_C20|30
18|اقبال کے نزدیک سفر کی غایت کیا ہے؟|صرف منزل پر پہنچنا|راستے کی مشکلات سے لطف اندوز ہونا|خود کو پہچاننا اور اپنی صلاحیتوں کو جاننا|نئے دوست بنانا|خود کو پہچاننا اور اپنی صلاحیتوں کو جاننا|Urdu_C20|30
19|علامہ اقبال کا مزار کہاں ہے؟|دہلی|کراچی|لاہور|سیالکوٹ|لاہور|Urdu_C20|30
20|اقبال نے مغربی علم و فن کی تعریف کیوں کی ہے؟|اس کی ظاہری چمک دمک کی وجہ سے|اس کی سائنسی اور تحقیقی ترقی کی وجہ سے|اس کی زبان کی وجہ سے|اس کی عمارتوں کی وجہ سے|اس کی سائنسی اور تحقیقی ترقی کی وجہ سے|Urdu_C20|30
21|'سفرِ زندگی' میں انسان کا رہنما کون ہے؟|عقل|دل|عشق اور خودی|دولت|عشق اور خودی|Urdu_C20|30
22|اقبال کے مطابق کائنات کیسی ہے؟|ساکن اور غیر متحرک|محدود|مسلسل پھیلتی ہوئی اور ارتقاء پذیر|ایک دھوکہ|مسلسل پھیلتی ہوئی اور ارتقاء پذیر|Urdu_C20|30
23|'بالِ جبریل' کی مشہور نظم 'مسجدِ قرطبہ' کس ملک کے سفر کے دوران لکھی گئی؟|انگلینڈ|جرمنی|اٹلی|اسپین|اسپین|Urdu_C20|30
24|اقبال نے 'خضرِ راہ' کس کو کہا ہے؟|ایک بزرگ کو|ایک رہنما کو|ایک فرضی کردار کو|خود کو|ایک رہنما کو|Urdu_C20|30
25|'سفرنامہ' میں شاعر اپنی قوم کو کیا پیغام دیتا ہے؟|گھروں میں بیٹھنے کا|دوسروں کی تقلید کرنے کا|اپنے اندر جھانکنے اور اپنی دنیا آپ پیدا کرنے کا|مغرب سے نفرت کرنے کا|اپنے اندر جھانکنے اور اپنی دنیا آپ پیدا کرنے کا|Urdu_C20|30
26|اقبال کی شاعری میں 'دریا' کس کی علامت ہے؟|سکون|زندگی کا سفر اور اس کی روانی|پانی|خطرہ|زندگی کا سفر اور اس کی روانی|Urdu_C20|30
27|'شاعرِ مشرق' کس کا خطاب ہے؟|غالب|حالی|جوش|اقبال|اقبال|Urdu_C20|30
28|اقبال نے اپنی شاعری میں ماضی کا ذکر کیوں کیا ہے؟|صرف ماضی پر فخر کرنے کے لیے|ماضی سے سبق سیکھ کر مستقبل تعمیر کرنے کے لیے|ماضی پر رونے کے لیے|وقت گزاری کے لیے|ماضی سے سبق سیکھ کر مستقبل تعمیر کرنے کے لیے|Urdu_C20|30
29|اقبال کے نزدیک حرکت میں کیا ہے؟|موت|پریشانی|برکت اور زندگی|ناکامی|برکت اور زندگی|Urdu_C20|30
30|'سفر ہے شرط مسافر نواز بہتیرے' - اس مصرعے کا کیا مطلب ہے؟|سفر نہیں کرنا چاہیے|مسافر بہت کم ہیں|اگر تم سفر کا ارادہ کرو تو مددگار بہت مل جائیں گے|منزل بہت دور ہے|اگر تم سفر کا ارادہ کرو تو مددگار بہت مل جائیں گے|Urdu_C20|30
31|اقبال نے اپنی پی ایچ ڈی کا مقالہ کس موضوع پر لکھا؟|فلسفہ خودی|اسلام میں تصوف|ایران میں مابعد الطبیعات کا ارتقاء|مغربی تہذیب|ایران میں مابعد الطبیعات کا ارتقاء|Urdu_C20|30
32|'ارمغانِ حجاز' کا کیا مطلب ہے؟|حجاز کا پھل|حجاز کا تحفہ|حجاز کا سفر|حجاز کی یاد|حجاز کا تحفہ|Urdu_C20|30
33|اقبال کے نزدیک روحانی سفر کی منزل کیا ہے؟|جنت|خدا سے ملاقات|خدا کی صفات کو خود میں پیدا کرنا|دنیا سے لاتعلقی|خدا کی صفات کو خود میں پیدا کرنا|Urdu_C20|30
34|'محبت مجھے ان جوانوں سے ہے، ستاروں پہ جو ڈالتے ہیں کمند' - اس شعر میں 'سفر' کا کونسا پہلو نمایاں ہے؟|آرام طلبی|خطرات سے کھیلنے اور بلند حوصلگی کا|پیسہ کمانے کا|گھر بسانے کا|خطرات سے کھیلنے اور بلند حوصلگی کا|Urdu_C20|30
