id|question|opt1|opt2|opt3|opt4|answer|tags|time_limit_seconds
1|'غبارِ خاطر' کیا ہے؟|ناول|افسانوں کا مجموعہ|خطوط کا مجموعہ|شاعری کا مجموعہ|خطوط کا مجموعہ|Urdu_C10|30
2|'غبارِ خاطر' کے مصنف کون ہیں؟|مولانا الطاف حسین حالی|مولانا محمد حسین آزاد|مولانا ابوالکلام آزاد|سرسید احمد خان|مولانا ابوالکلام آزاد|Urdu_C10|30
3|'غبارِ خاطر' کے خطوط کس کے نام لکھے گئے؟|جواہر لعل نہرو|حبیب الرحمن خان شروانی|مہاتما گاندھی|محمد علی جناح|حبیب الرحمن خان شروانی|Urdu_C10|30
4|مولانا آزاد نے یہ خطوط کہاں سے لکھے تھے؟|جیل خانہ آگرہ|قلعہ احمد نگر|جیل خانہ دہلی|جیل خانہ لاہور|قلعہ احمد نگر|Urdu_C10|30
5|مولانا آزاد کس تحریک کے دوران قلعہ احمد نگر میں قید تھے؟|خلافت تحریک|سول نافرمانی تحریک|ہندوستان چھوڑو تحریک|عدم تعاون تحریک|ہندوستان چھوڑو تحریک|Urdu_C10|30
6|ابوالکلام آزاد کا اصل نام کیا تھا؟|محمد آزاد|ابوالکلام غلام محی الدین|محی الدین احمد|فیروز بخت|محی الدین احمد|Urdu_C10|30
7|مولانا آزاد کی پیدائش کہاں ہوئی؟|دہلی|کلکتہ|مکہ|لکھنؤ|مکہ|Urdu_C10|30
8|'غبارِ خاطر' کے خطوط کب لکھے گئے؟|1920-22|1930-32|1942-45|1946-47|1942-45|Urdu_C10|30
9|نصاب میں شامل پہلے خط میں مولانا آزاد نے کس چیز پر تفصیل سے بات کی ہے؟|چائے نوشی|باغ بانی|موسم کی سختی|کتابوں کا مطالعہ|چائے نوشی|Urdu_C10|30
10|مولانا آزاد چائے کس ملک کی پینا پسند کرتے تھے؟|ہندوستان|سیلون (سری لنکا)|چین|انگلینڈ|چین|Urdu_C10|30
11|مولانا آزاد کے مطابق چائے کے ساتھ کیا ہونا ضروری نہیں ہے؟|شکر|دودھ|لوازمات (ناشتہ)|گرم پانی|لوازمات (ناشتہ)|Urdu_C10|30
12|'صدیق مکرم' کا لقب مولانا آزاد نے کس کے لیے استعمال کیا؟|حبیب الرحمن خان شروانی|مہاتما گاندھی|جواہر لعل نہرو|اپنے والد کے لیے|حبیب الرحمن خان شروانی|Urdu_C10|30
13|'غبارِ خاطر' کے خطوط شائع کرنے کا ارادہ تھا؟|ہاں، بالکل تھا|شاید تھا|بالکل نہیں تھا|بعد میں ارادہ بنا|بالکل نہیں تھا|Urdu_C10|30
14|مولانا آزاد قید کے دوران کس چڑیا کے جوڑے سے مانوس ہو گئے تھے؟|کبوتر|طوطا|چڑیا (گوریا)|مینا|چڑیا (گوریا)|Urdu_C10|30
15|چڑے کا نام مولانا آزاد نے کیا رکھا تھا؟|راجا|قیدی|صدیق|مذکور نہیں|مذکور نہیں|Urdu_C10|30
16|چڑیا کا نام مولانا آزاد نے کیا رکھا تھا؟|رانی|قیدن|زہرہ|مذکور نہیں|مذکور نہیں|Urdu_C10|30
17|مولانا آزاد نے 'حکایتِ زاغ و بلبل' (کوے اور بلبل کی کہانی) کس خط میں بیان کی ہے؟|پہلے خط میں|دوسرے خط میں|تیسرے خط میں|کسی میں نہیں|دوسرے خط میں|Urdu_C10|30
18|مولانا آزاد کے نزدیک موسیقی اور پرندوں کے چہچہانے میں کیا مشترک ہے؟|دونوں بے معنی ہیں|دونوں کانوں کو بھلے لگتے ہیں|دونوں میں انسان کے لیے کوئی پیغام نہیں|دونوں فطرت کی زبان ہیں|دونوں فطرت کی زبان ہیں|Urdu_C10|30
19|مولانا آزاد کی وفات کب ہوئی؟|1956|1958|1960|1962|1958|Urdu_C10|30
20|'الہلال' اور 'البلاغ' کیا تھے؟|رسالے|کتابیں|اخبار|مضامین|اخبار|Urdu_C10|30
21|قلعہ احمد نگر میں مولانا آزاد کے ساتھ اور کون سے رہنما قید تھے؟|صرف مولانا آزاد|جواہر لعل نہرو اور دیگر کانگریسی رہنما|مسلم لیگ کے رہنما|کوئی نہیں|جواہر لعل نہرو اور دیگر کانگریسی رہنما|Urdu_C10|30
22|مولانا آزاد آزاد ہندوستان کے پہلے _____ تھے؟|صدر|وزیر اعظم|وزیر تعلیم|وزیر داخلہ|وزیر تعلیم|Urdu_C10|30
